Date,Consensus,DeltaConsensus
3/26/2010,440,-2
4/2/2010,435,-4
4/9/2010,440,-20
4/16/2010,450,-34
4/23/2010,445,-11
4/30/2010,440,-8
5/7/2010,440,-4
5/14/2010,440,-4
5/21/2010,455,-16
5/28/2010,455,-5
6/4/2010,450,-3
6/11/2010,450,-6
6/18/2010,462.5,-9.5
6/25/2010,455,-2
7/2/2010,460,-12
7/9/2010,445,-9
7/16/2010,450,21
7/23/2010,460,-4
7/30/2010,455,-2
8/6/2010,465,-14
8/13/2010,478,-6
8/20/2010,490,-10
8/27/2010,475,2
9/3/2010,470,-2
9/10/2010,459,8
9/17/2010,450,0
9/24/2010,460,-5
10/1/2010,455,2
10/8/2010,445,0
10/15/2010,455,-7
10/22/2010,450,-2
10/29/2010,442,8
11/5/2010,450,-7
11/12/2010,440.5,5.5
11/19/2010,435,-4
11/26/2010,424,17
12/3/2010,425,-11
12/10/2010,425,4
12/17/2010,420,0
12/24/2010,415,-5
12/31/2010,407.5,19.5
1/7/2011,410,1
1/14/2011,420,-25
1/21/2011,405,1
1/28/2011,420,-34
2/4/2011,410,-5
2/11/2011,400,17
2/18/2011,405,-5
2/25/2011,395,4
3/4/2011,376,8
3/11/2011,387.5,-9.5
3/18/2011,383,-2
3/25/2011,380,-2
4/1/2011,385,-3
4/8/2011,380,-2
4/15/2011,390,-22
4/22/2011,395,-8
4/29/2011,410,-19
5/6/2011,430,-44
5/13/2011,420,-14
5/20/2011,404,-5
5/27/2011,417,-7
6/3/2011,419,-3
6/10/2011,420,-7
6/17/2011,415,1
6/24/2011,420,-9
7/1/2011,420,-8
7/8/2011,415,-3
7/15/2011,410,5
7/22/2011,415,-3
7/29/2011,405,7
8/5/2011,405,5
8/12/2011,400,5
8/19/2011,405,-3
8/26/2011,410,-7
9/2/2011,405,-4
9/9/2011,411,-3
9/16/2011,420,-8
9/23/2011,420,-3
9/30/2011,410,19
10/7/2011,405,4
10/14/2011,400,-4
10/21/2011,401,-2
10/28/2011,400,-2
11/4/2011,400,3
11/11/2011,395,5
11/18/2011,390,2
11/25/2011,390,-3
12/2/2011,395,-7
12/9/2011,390,9
12/16/2011,380,14
12/23/2011,374.5,10.5
12/30/2011,375,-6
1/6/2012,375,3
1/13/2012,384,-15
1/20/2012,370,18
1/27/2012,370.5,-6.5
2/3/2012,370,3
2/10/2012,365,7
2/17/2012,355,7
2/24/2012,355,4
3/2/2012,352,1
3/9/2012,356.5,-5.5
3/16/2012,350,-1
3/23/2012,350,2
3/30/2012,355,-4
4/6/2012,355,-2
4/13/2012,370,-10
4/20/2012,375,-11
4/27/2012,379,-9
5/4/2012,368,3
5/11/2012,365,-2
5/18/2012,370,0
5/25/2012,370,0
6/1/2012,378,-5
6/8/2012,375,-2
6/15/2012,383,-3
6/22/2012,385,-2
6/29/2012,385,-1
7/6/2012,371.5,-2.5
7/13/2012,365,15
7/20/2012,380,-6
7/27/2012,370,17
8/3/2012,370,5
8/10/2012,365,4
8/17/2012,365,-1
8/24/2012,370,-2
8/31/2012,370,-4
9/7/2012,370,5
9/14/2012,375,-7
9/21/2012,375,-7
9/28/2012,370,11
10/5/2012,370,3
10/12/2012,365,26
