"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"557","OneMonthBefore_Revised+IJC+NumTweets_Week1_opportunity_AbsoluteDelta+NumPopularTweets_Week1_opportunity_AbsoluteDelta",47.61643271,43.12655902,61.05562977,43.13023116,9,6,9,7,53.60280748,-129.1971925,241.6258666
"561","OneMonthBefore_Revised+IJC+NumTweets_Week2_allold_Absolute+NumPopularTweets_Week2_allold_Absolute",48.05966637,35.11136694,62.30618788,35.50445616,9,5,9,7,48.28400353,-134.5159965,262.8689216
"562","OneMonthBefore_Revised+IJC+NumTweets_Week2_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",47.66551047,38.17489692,61.17283837,38.47853495,8,6,9,7,53.01387439,-129.7861256,257.9527634
"569","OneMonthBefore_Revised+IJC+NumTweets_Month1_allold_Absolute+NumPopularTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumPopularTweets_Week2_allold_Absolute",49.36795768,34.95756595,63.82176482,35.70991307,8,5,9,7,32.58450785,-150.2154921,264.6169959
"576","OneMonthBefore_Revised+IJC+NumTweets_Week1_allold_Absolute+NumPopularTweets_Week1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumPopularTweets_Week2_allold_Absolute",48.96398981,33.5438324,63.92839726,34.29038887,10,6,10,7,37.43212228,-145.3678777,279.2665605
"580","OneMonthBefore_Revised+IJC+NumTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Month1_all_AbsoluteDelta+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",42.3939766,25.7302122,52.41978477,25.87293198,7,3,10,6,116.2722808,-66.52771918,295.4797815
"603","OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",45.07792728,28.11789884,58.83713008,28.11889892,9,5,9,6,84.06487261,-98.73512739,251.2533844
"607","OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumVerifiedTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta",47.41223346,33.96872911,58.98913115,34.4985525,5,3,10,6,56.05319845,-126.7468016,316.8754249
"611","OneMonthBefore_Revised+IJC+NumTweets_Month1_all_Absolute+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute",41.8898773,23.14907979,57.60374182,23.16011525,9,6,9,7,122.3214724,-60.47852765,229.4380453
"614","OneMonthBefore_Revised+DeltaIJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",46.34698352,31.84951925,63.12030965,33.04561315,7,5,9,7,68.8361978,-113.9638022,221.600222
"615","OneMonthBefore_Revised+DeltaIJC+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",45.72144491,23.77878412,62.28775201,24.77019755,7,4,9,6,76.34266103,-106.457339,222.2500941
