Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute,45.76873135,37.24794204,58.27079769,37.25375469,9,6,9,7,75.77522385,-107.0247762,227.4959352
IJC+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute,44.68194869,33.63003183,57.47507985,33.8332471,9,6,9,7,88.81661569,-93.98338431,250.2024234
IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute,45.38536264,37.20705866,58.09826077,37.25445543,9,6,9,7,80.37564834,-102.4243517,238.7076172
IJC+NumTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute,45.74399942,34.6800294,58.11962642,34.71920615,9,6,9,7,76.07200695,-106.727993,242.225081
IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute,45.77678597,35.28706651,58.19814656,35.29092963,9,6,9,7,75.67856837,-107.1214316,237.3582496
IJC+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute,44.95477079,33.807501,57.59664153,33.98916903,9,6,9,7,85.54275057,-97.25724943,249.6752351
IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta,45.3219996,35.60200943,58.04591831,35.64769518,9,6,9,7,81.13600481,-101.6639952,228.9856456
IJC+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta,45.86334295,33.88344069,58.6773841,33.88460052,9,6,9,7,74.63988456,-108.1601154,235.230351
IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta,42.25265215,37.16413739,58.5748473,38.31658293,9,6,9,7,117.9681742,-64.83182584,305.2639354
IJC+NumTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta,45.18917066,33.02004919,58.14959689,33.02083087,9,6,9,7,82.7299521,-100.0700479,240.5267565
IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta,44.76211203,30.47062724,57.83092874,30.49266883,9,6,9,7,87.85465565,-94.94534435,243.719697
IJC+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta,45.1509519,33.36429395,58.13843475,33.36525394,9,6,9,7,83.18857718,-99.61142282,248.0615258
