Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
OneMonthBefore_Revised+IJC+NumTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Week2_allold_AbsoluteDelta,49.78659006,40.78442686,63.75517327,41.04200355,6,5,6,6,27.56091929,-155.2390807,243.5357728
OneMonthBefore_Revised+IJC+NumTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumTweets_Week2_opening_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta,53.60740076,28.19691806,85.5446785,28.72732406,7,5,7,7,-18.28880909,-201.0888091,247.2165446
OneMonthBefore_Revised+IJC+NumTweets_Week1_opportunity_AbsoluteDelta+NumVerifiedTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,55.63396734,29.12718659,83.0098165,32.03647166,7,5,8,7,-42.60760805,-225.407608,232.2867064
OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute,50.11739733,36.48853215,63.83384932,36.50046185,7,4,7,7,23.59123209,-159.2087679,257.2441742
TwoMonthBefore_UnRevised+IJC+NumTweets_Month1_opening_Absolute,46.99731677,35.83555081,59.22683962,35.94544369,9,6,9,7,61.03219871,-121.7678013,244.0995638
TwoMonthBefore_UnRevised+IJC+NumTweets_Month1_opportunity_AbsoluteDelta,47.08225165,36.66687024,59.22825745,36.95796038,8,6,8,7,60.01298019,-122.7870198,243.6768076
TwoMonthBefore_UnRevised+IJC+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta,47.1374675,36.31643123,59.30304082,36.65687588,8,6,8,7,59.35038995,-123.44961,242.7365236
TwoMonthBefore_UnRevised+IJC+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opening_Absolute,48.90635994,32.14254012,61.52554533,32.38118078,6,4,7,7,38.12368067,-144.6763193,252.6652552
TwoMonthBefore_UnRevised+IJC+NumPopularTweets_Week2_all_AbsoluteDelta,46.36117023,33.28880653,59.14177683,33.48149186,9,6,9,7,68.66595721,-114.1340428,245.8205177
TwoMonthBefore_UnRevised+IJC+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_opening_AbsoluteDelta,45.81484345,30.7931327,59.53414214,30.94328804,8,7,8,8,75.22187856,-107.5781214,234.7941073
TwoMonthBefore_UnRevised+IJC+NumVerifiedTweets_Week2_allold_AbsoluteDelta,50.87393967,39.22592975,61.56537903,39.58757834,9,5,9,6,14.51272395,-168.2872761,240.9361156
TwoMonthBefore_UnRevised+IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,43.07069586,25.80537171,57.52727288,25.86002933,8,6,8,7,108.1516497,-74.64835032,230.8425405
TwoMonthBefore_UnRevised+IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta,42.42225922,21.19722167,60.0118876,21.23832273,9,7,9,8,115.9328893,-66.8671107,226.3907236
TwoMonthBefore_UnRevised+IJC+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta,48.98955172,36.81120074,62.21574696,36.82721115,8,7,8,8,37.12537941,-145.6746206,242.99274
TwoMonthBefore_UnRevised+IJC+NumPopularTweets_Month1_all_Absolute+NumVerifiedTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumVerifiedTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumVerifiedTweets_Week2_all_Absolute,46.96253566,45.11069,61.04950886,45.11094311,7,5,8,7,61.44957208,-121.3504279,281.7195581
TwoMonthBefore_Revised+IJC+NumTweets_Month1_opportunity_Absolute+NumTweets_Month1_opportunity_AbsoluteDelta,49.68435964,38.50695287,61.72683806,38.57322162,7,4,8,5,28.78768437,-154.0123156,249.4344305
TwoMonthBefore_Revised+IJC+NumTweets_Week1_opening_AbsoluteDelta,49.51753427,36.72152307,60.9526628,36.73126071,8,4,8,5,30.78958875,-152.0104112,216.9089128
TwoMonthBefore_Revised+IJC+NumTweets_Week2_all_AbsoluteDelta,47.81094254,37.66925912,60.00193467,37.72645822,8,5,9,6,51.26868946,-131.5313105,246.9271327
TwoMonthBefore_Revised+IJC+NumPopularTweets_Week1_all_Absolute,51.87594351,36.20896284,67.05537524,36.2090634,9,5,9,6,2.488677878,-180.3113221,250.0222886
TwoMonthBefore_Revised+IJC+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_opening_AbsoluteDelta,45.86085764,32.02351851,60.18781852,32.02797362,8,6,9,7,74.6697083,-108.1302917,241.050881
TwoMonthBefore_Revised+IJC+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opening_AbsoluteDelta,48.64654101,37.76092919,60.56943895,37.76479622,9,5,9,6,41.24150785,-141.5584922,248.0689892
TwoMonthBefore_Revised+IJC+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta,44.43223505,39.05453664,56.66596632,41.15282912,7,4,8,6,91.81317937,-90.98682063,271.5348305
TwoMonthBefore_Revised+IJC+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta,49.80017343,39.63852395,62.68412558,39.68264041,8,5,9,6,27.39791884,-155.4020812,252.2064589
TwoMonthBefore_Revised+IJC+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta,48.93610187,44.3284618,61.60160573,47.14907755,7,4,8,5,37.76677759,-145.0332224,280.2604211
TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Month1_all_Absolute,47.62121167,33.66357617,60.36507002,33.72362451,8,7,8,8,53.54545991,-129.2545401,241.8810421
TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Month1_opening_AbsoluteDelta,51.0431311,34.9546454,62.97069497,34.96043389,6,5,7,6,12.4824268,-170.3175732,270.1365021
TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,43.391553,25.15900787,58.89500895,25.15900827,8,5,8,6,104.301364,-78.498636,237.1954708
TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,46.85619599,31.32759469,60.40638263,31.39121455,7,5,8,6,62.72564817,-120.0743518,209.9652273
TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,47.99255706,31.40392389,64.27639921,31.42618782,7,5,7,6,49.08931524,-133.7106848,237.8748034
TwoMonthBefore_Revised+IJC+NumVerifiedTweets_Week1_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,58.42920265,37.64608558,84.88374645,39.85079216,8,5,9,7,-76.15043175,-258.9504318,237.505171
TwoMonthBefore_Revised+IJC+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,43.98691823,24.90863069,59.36301027,24.91108021,8,5,8,6,97.15698119,-85.64301881,237.7055965
OneMonthBefore_UnRevised+TwoMonthBefore_UnRevised+NumTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Month1_all_AbsoluteDelta,57.7194838,46.1652501,75.54419534,46.48890274,5,6,6,8,-67.63380565,-250.4338057,231.482788
